range,angle,LF,LS,RS,RF
180,-25,445,182,496,327
180,-20,457,708,501,333
180,-15,470,720,511,338
180,-10,503,750,555,373
180,-5,575,844,650,447
180,0,613,912,639,428
180,5,540,792,540,366
180,10,485,728,501,334
180,15,463,688,485,318
180,20,450,672,474,308
180,25,440,683,460,299
170,-25,476,742,543,350
170,-20,489,750,541,226
170,-15,505,761,555,366
170,-10,549,793,609,397
170,-5,643,900,736,477
170,0,645,985,701,482
170,5,558,851,581,406
170,10,507,771,544,365
170,15,484,743,523,348
170,20,469,729,517,336
170,25,457,715,497,325
160,-25,509,781,581,385
160,-20,522,798,585,390
160,-15,535,809,602,403
160,-10,573,840,666,445
160,-5,660,957,810,540
160,0,740,1076,784,507
160,5,634,931,645,425
160,10,560,825,590,386
160,15,530,791,568,369
160,20,517,774,552,353
160,25,505,759,537,343
150,-25,564,831,621,428
150,-20,575,847,645,433
150,-15,596,858,654,447
150,-10,639,896,707,519
150,-5,752,1021,880,604
150,0,822,1142,893,532
150,5,710,979,720,448
150,10,625,871,649,412
150,15,591,836,623,392
150,20,577,815,605,380
150,25,560,798,590,365
