source,start,d_true,manhattan,detour,detour_fixed14,beta,open_edges,n_comp_total,n_paths,deg0,deg1,deg2,deg3,deg4,dead_ends,goal_gateways,goal_interior_walls,center_post_walls,isolated_posts,outer_ok,start_walls,start_open_dirs,init_head_used,left_reach,right_reach,all_reachable_from_start,n_reach_from_start,rule_gateway1,rule_wallfollow_fails,rule_multi_path,rule_no_isolated_post,rule_outer_complete,rule_start3walls,n_rules_ok,goal_cells
16MM2012CX.maze,"(0, 0)",69,14,4.928571428571429,4.928571428571429,22,277,1,4,0,9,196,51,0,9,2,0,0,0,True,3,0,0,False,False,True,256,False,True,True,True,True,True,5,7-7;7-8;8-7;8-8
16MM2013CX.maze,"(0, 0)",105,14,7.5,7.5,9,264,1,1,0,25,196,29,6,25,1,0,0,0,True,3,0,0,False,False,True,256,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
16MM2014CX.maze,"(0, 0)",104,14,7.428571428571429,7.428571428571429,9,264,1,2,0,37,174,37,8,37,2,0,0,0,True,3,0,0,False,False,True,256,False,True,True,True,True,True,5,7-7;7-8;8-7;8-8
16MM2015CX.maze,"(0, 0)",85,14,6.071428571428571,6.071428571428571,10,265,1,2,0,34,179,34,9,34,2,0,0,0,True,3,0,0,False,False,True,256,False,True,True,True,True,True,5,7-7;7-8;8-7;8-8
16MM2015C_Chubu.maze,"(0, 0)",54,14,3.857142857142857,3.857142857142857,25,280,1,14,0,4,200,52,0,4,1,0,0,0,True,3,0,0,False,False,True,256,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
16MM2016CX.maze,"(0, 0)",74,14,5.285714285714286,5.285714285714286,10,265,1,4,0,19,205,27,5,19,1,0,0,0,True,3,0,0,False,False,True,256,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
16MM2016C_Chubu.maze,"(0, 0)",85,14,6.071428571428571,6.071428571428571,22,275,3,12,2,16,186,46,6,16,1,0,0,0,True,3,0,0,False,False,False,254,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
16MM2016C_Kyushu.maze,"(0, 0)",63,14,4.5,4.5,10,265,1,1,0,39,164,49,4,39,1,0,0,0,True,3,0,0,False,False,True,256,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
16MM2016H_Kansai.maze,"(0, 0)",40,22,1.8181818181818181,2.857142857142857,29,275,10,1,0,20,178,58,0,20,1,0,0,8,True,3,0,0,False,False,False,215,True,True,True,False,True,True,5,11-11;11-12;12-11;12-12
16MM2017CX.maze,"(0, 0)",99,14,7.071428571428571,7.071428571428571,5,260,1,1,0,27,198,27,4,27,1,0,0,0,True,3,0,0,False,False,True,256,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
16MM2017CX_pre.maze,"(0, 0)",47,14,3.357142857142857,3.357142857142857,33,288,1,6,0,22,152,78,4,22,1,0,0,0,True,3,0,0,False,False,True,256,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
16MM2017C_Chubu.maze,"(0, 0)",115,14,8.214285714285714,8.214285714285714,34,289,1,140,0,10,173,70,3,10,1,0,0,0,True,3,0,0,True,True,True,256,True,False,True,True,True,True,5,7-7;7-8;8-7;8-8
16MM2017C_East.maze,"(0, 0)",70,14,5.0,5.0,19,274,1,12,0,29,163,63,1,29,1,0,0,0,True,3,0,0,True,True,True,256,True,False,True,True,True,True,5,7-7;7-8;8-7;8-8
16MM2017C_student.maze,"(0, 0)",103,14,7.357142857142857,7.357142857142857,11,266,1,4,0,36,170,44,6,36,1,0,0,0,True,3,0,0,False,False,True,256,True,True,True,True,True,True,6,7-7;7-8;8-7;8-8
