id	kind	source_type	confidence	series	edition	year	class	stage	width	height	start_x	start_y	start_heading	goal	D0	content_sha256
APEC2002_2002	contest	bmp	single-source	APEC2002		2002			16	16	0	0	N	7-7;8-7;7-8;8-8	84	6c16001da2a780a4db5b287c125529b9ceb4cf63dfb2e26b422ed02eb4f9de77
AllJapan_001_1980	contest	bmp	single-source	AllJapan	1	1980			16	16	0	0	N	7-7;8-7;7-8;8-8	29	ed0c9269d1e6efcc37ac700721a34837c562802b342336e3fc3899a9d3a93ff4
AllJapan_002_1981	contest	bmp	single-source	AllJapan	2	1981			16	16	0	0	N	7-7;8-7;7-8;8-8	39	40cf7925eb29aed80707547d59b26d7241105216a7bf16e25d546aebad2982f9
AllJapan_003_1982	contest	bmp	single-source	AllJapan	3	1982			16	16	0	0	N	7-7;8-7;7-8;8-8	54	feba5befd7747b501289de22dd60e22999be836e3ad899c3446ffd7898c6f4ad
AllJapan_004_1983	contest	bmp	single-source	AllJapan	4	1983			16	16	0	0	N	7-7;8-7;7-8;8-8	72	986b5a091430e8c9b816f049c34d3cb2ddad366f5c87acb45acbe85c5f9cda2e
AllJapan_005_1984	contest	bmp	single-source	AllJapan	5	1984			16	16	0	0	N	7-7;8-7;7-8;8-8	68	becda31afffbaf5e0a782d24adee36c21304b018ee56481dacd70dce8b348b6c
AllJapan_006_1985_fin	contest	bmp	single-source	AllJapan	6	1985		final	16	16	0	0	N	7-7;8-7;7-8;8-8	65	9dd87130b6ad2602ac31f3ca32c324a2f524b1c3f2db491d268d4eb600a0f051
AllJapan_006_1985_pre	contest	bmp	single-source	AllJapan	6	1985		preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	71	6c9ec2e20ec19b1eeab6f0a1172a559b8c1bc940a5432c6bd347ef4268ca655e
AllJapan_007_1986_fin	contest	bmp	single-source	AllJapan	7	1986		final	16	16	0	0	N	7-7;8-7;7-8;8-8	68	ae518f5d627744eca6be7bd6d491a1fd3b9ac8c6347ff2bf2061ce4e27bf0447
AllJapan_007_1986_pre	contest	bmp	single-source	AllJapan	7	1986		preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	84	b539a80e11714030a22fbc5a37795f2030082dd79e1ad9c382b8f666f6b4d74d
AllJapan_008_1987_fin	contest	bmp	single-source	AllJapan	8	1987		final	16	16	0	0	N	7-7;8-7;7-8;8-8	92	48491342cb18d0d5aff4ec07bfb84cfdfda313d0c11cb1ede4c410b90775f8da
AllJapan_008_1987_pre	contest	bmp	single-source	AllJapan	8	1987		preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	59	90a0bb1caafd22ca8a684e9fe8e877e2a710a3389bc90c58fdd9ddf716189374
AllJapan_009_1988_fin	contest	bmp	single-source	AllJapan	9	1988		final	16	16	0	0	N	7-7;8-7;7-8;8-8	76	9f3c62a86f3892450973fba49e01cc019bfe353e3cb44d0cf029ca0a50fcc15b
AllJapan_009_1988_pre	contest	bmp	single-source	AllJapan	9	1988		preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	53	d73af7505f3f4189ccb082ab662ce3913108cd94a7e71ac3f450a180fba32c9f
AllJapan_010_1989_fin	contest	bmp	single-source	AllJapan	10	1989		final	16	16	0	0	N	7-7;8-7;7-8;8-8	66	e6a328d7256b7558adac8d2021252e331bdf4aacbcf58721950235ef1b3f2639
AllJapan_010_1989_pre	contest	bmp	single-source	AllJapan	10	1989		preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	60	4b775a371b2d66171cd397352ea4c81c1aa954ad30d45a5b4b126a0552e8f95d
AllJapan_011_1990_exp_fin	contest	bmp	single-source	AllJapan	11	1990	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	84	86faacda9c46e1ab293c9caba1b1d5ca738d9ac2af54a4e1255bcd85a2434bae
AllJapan_011_1990_exp_pre	contest	bmp	single-source	AllJapan	11	1990	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	98	da066cc684f3c93ad8003a87ce0da961ec9f4004490c1f06b5b922ca2db45924
AllJapan_011_1990_frsh	contest	bmp	single-source	AllJapan	11	1990	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	66	4b89305e4ddcf16528f213033936a1a62123735d09c4bfbb27c19682c3508555
AllJapan_012_1991_exp_fin	contest	bmp	single-source	AllJapan	12	1991	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	64	b12694548ee3edd2c30bdc171968c9b97a9f33c42217f657f93b556364ba370b
AllJapan_012_1991_frsh	contest	bmp	single-source	AllJapan	12	1991	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	47	674b5800042e7619f77f1200f4b45e326369a53702bf0db460bf315a3af99338
AllJapan_013_1992_exp_fin	contest	bmp	single-source	AllJapan	13	1992	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	64	c759defc68e7833a3a4b25fc2fb4d68e11140981eddc0851e0e36421d2d59b9f
AllJapan_013_1992_exp_pre	contest	bmp	single-source	AllJapan	13	1992	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	46	00f1620b52b613400d199074995a2b551e08a5baeb8e4126c4871f815d6fc5bd
AllJapan_013_1992_frsh	contest	bmp	single-source	AllJapan	13	1992	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	46	74be6694e631dcdba975b480b0e8c2d41515a09acdf1edde1f523d2adb55ad8c
AllJapan_014_1993_exp_fin	contest	bmp	single-source	AllJapan	14	1993	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	66	b78f56d77e105b21460746670966591a704ebebbbc65fb7759adc4f063a18d06
AllJapan_014_1993_exp_pre	contest	bmp	single-source	AllJapan	14	1993	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	54	4a12ac5031cb7eb22ed61cbedbc403c910150b37478f9eb1a603928744af6688
AllJapan_014_1993_frsh	contest	bmp	single-source	AllJapan	14	1993	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	48	0766c17cbd035692fe4e966314646dd6823b37e10647a1747e5743a84a334e8c
AllJapan_015_1994_exp_fin	contest	bmp	single-source	AllJapan	15	1994	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	66	238387610d36b0d747a4f266e7949856e8d612bc294a7451fe4180c279979ee2
AllJapan_015_1994_exp_pre	contest	bmp	single-source	AllJapan	15	1994	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	52	4a7cee9663faee95a016de780d1c1ef13b32685742e38da31d6de9386d6cf9fd
AllJapan_015_1994_frsh	contest	bmp	single-source	AllJapan	15	1994	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	44	f7790ff724c5aaf38597cb4995f93c4808266e1ed831ee2d8988271666f94238
AllJapan_016_1995_exp_fin	contest	bmp	single-source	AllJapan	16	1995	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	64	c759defc68e7833a3a4b25fc2fb4d68e11140981eddc0851e0e36421d2d59b9f
AllJapan_016_1995_exp_pre	contest	bmp	single-source	AllJapan	16	1995	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	52	08da79428065ebf02b1a3dfc8254d01348d55dc38c114d66a10fd9c8572cba0b
AllJapan_016_1995_frsh	contest	bmp	single-source	AllJapan	16	1995	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	51	2fd889441ea50fed65577224531f85b85b48b8cac57e4e5ebd59463e000eb953
AllJapan_017_1996_exp_fin	contest	bmp	single-source	AllJapan	17	1996	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	74	dff77eb663017befdc072e8ada33ada55cd8812af876332175a3386a5e48f7ac
AllJapan_017_1996_exp_pre	contest	bmp	single-source	AllJapan	17	1996	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	55	a6fd37f6b381b60c02a2f140e642bd95ad93c6994214c1ef0d393f20016f1707
AllJapan_017_1996_frsh	contest	bmp	single-source	AllJapan	17	1996	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	43	4bc7d7759b9ca2ae49eb08b8a419b35ebb981cee5e8980e9c6442ddf73b1552c
AllJapan_018_1997_exp_fin	contest	bmp	single-source	AllJapan	18	1997	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	68	29fc1576b435141051b3a448355bae5848ee20aec041b46539ea1029d1216314
AllJapan_018_1997_exp_pre	contest	bmp	single-source	AllJapan	18	1997	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	54	cdb8c2b144a23292e59760a569736066938dbe88f19f56f0f857069275b1d4d4
AllJapan_018_1997_frsh	contest	bmp	single-source	AllJapan	18	1997	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	41	cf5f71ae82b4b63c881506cba39e5f66585b91e5223a58f057d13d188283557f
AllJapan_019_1998_exp_fin	contest	bmp	single-source	AllJapan	19	1998	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	67	03950bfa4aca11746b4c9913d019aa942f820023477b6e75867d03617d394403
AllJapan_019_1998_exp_pre	contest	bmp	single-source	AllJapan	19	1998	expert	preliminary	16	16	0	0	N	7-7;8-7;7-8;8-8	53	aefff2cb6953381c082674eeb4a28651582aa2d94f854ea1e7531c3c18d52b96
AllJapan_019_1998_frsh	contest	bmp	single-source	AllJapan	19	1998	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	45	8724c8b63b8509c8b1c7a4e3ecd5b5dee9294cd015eb6386e56a3ff4cfbfb38e
AllJapan_028_2007_exp_fin	contest	bmp	single-source	AllJapan	28	2007	expert	final	16	16	0	0	N	7-7;8-7;7-8;8-8	71	1658fd03c8f53a4174b491495454646c97302c7332ead645a452e874a89993bd
AllJapan_028_2007_frsh	contest	bmp	single-source	AllJapan	28	2007	freshman		16	16	0	0	N	7-7;8-7;7-8;8-8	46	de448ada845ad265b3af4619831e78bf069a2611966ef1846bda0122d5432fff
