# 実機の距離センサの実測（ユーザ提供・2026-08-21）
#
# 測定の条件（ユーザの説明の範囲）:
#   正面に壁を置き、ロボットの距離をずらして出力を記録したもの。
#   range_mm = 壁までの距離 [mm]（基準点の定義は未確認。§注意を参照）
#   left_ad / right_ad = AD 変換器の値そのもの（分解能は未確認。12bit=4095 と仮定して読む）
#   センサの詳しい仕様（型番・LED 駆動電流・増幅率）は現時点では出せない、とのこと。
#
# 注意:
#   1. range_mm の基準点（機体の前端か、センサの取り付け位置か、壁の手前面か）は未確認。
#      モデルとの当てはめでは距離のずれを自由パラメータに取り、右センサで +0.5mm と出た
#      （research_notes/note_034 追記6）。偶然かもしれないので、基準点は確認したい。
#   2. 50mm より近い側は測られていない。モデルが予測する応答のピーク（44mm 付近）と
#      その内側の落ち込みは、このデータでは確かめられない。
#   3. 左センサは 110mm より近い側でモデルから外れる。右センサは 80mm まで 1% 台で合う。
#
range_mm,left_ad,right_ad
200,541,431
195,571,463
190,603,483
185,625,505
180,660,529
175,692,560
170,727,595
165,772,631
160,817,670
155,871,712
150,919,759
145,990,805
140,1070,859
135,1142,928
130,1251,984
125,1350,1057
120,1470,1145
115,1602,1230
110,1789,1346
105,1976,1443
100,2187,1585
95,2453,1709
90,2762,1851
85,3132,2023
80,3345,2240
75,3425,2476
70,3479,2766
65,3530,3064
60,3577,3227
55,3627,3322
50,3670,3373
